activity_id,date,start_time,name,type,duration_min,distance_km,avg_hr,max_hr,calories,avg_power,norm_power,training_load,aerobic_te,anaerobic_te,elevation_gain_m,avg_speed_kmh
23174469987,2026-06-08,2026-06-08 19:27:07,Quan 10 Cycling,cycling,5.2,1.35,129.0,154.0,36.0,,,17.4417724609375,1.0,0.30000001192092896,2.0,15.7
23174352261,2026-06-08,2026-06-08 18:25:02,Shoulder,strength_training,55.4,,130.0,169.0,335.0,,,103.02235412597656,2.700000047683716,2.4000000953674316,,
23173494598,2026-06-08,2026-06-08 17:56:03,Quan 10 Cycling,cycling,5.4,1.49,118.0,124.0,32.0,,,8.023422241210938,0.6000000238418579,0.0,1.0,16.48
23170123782,2026-06-08,2026-06-08 08:12:54,Meditation,meditation,10.0,,72.0,84.0,,,,0.0,0.0,0.0,,
23170078099,2026-06-08,2026-06-08 07:56:37,Relax and Focus,breathwork,15.6,,67.0,93.0,,,,0.0698699951171875,0.0,0.0,,
23395885188,2026-06-09,2026-06-09 18:58:26,Evening Ride,cycling,138.6,41.99,153.0,186.0,598.0,83.93291656648233,151.16771562059745,,,,367.4775619953871,18.17
23181851976,2026-06-09,2026-06-09 07:51:37,Meditation,meditation,10.0,,93.0,112.0,,,,2.7040863037109375,0.20000000298023224,0.0,,
23181851493,2026-06-09,2026-06-09 07:35:23,Relax and Focus,breathwork,15.6,,74.0,98.0,,,,1.2343597412109375,0.10000000149011612,0.0,,
23200318782,2026-06-10,2026-06-10 20:07:53,Zwift - Diesel Distance Builder,virtual_ride,60.3,19.88,124.0,131.0,228.0,66.0,67.20876670686411,35.61735534667969,2.200000047683716,0.0,95.0,19.79
23199798972,2026-06-10,2026-06-10 19:50:04,Quan 10 Cycling,cycling,4.7,1.32,116.0,142.0,27.0,,,10.362274169921875,0.6000000238418579,0.10000000149011612,0.0,16.82
23199798867,2026-06-10,2026-06-10 18:40:49,Chest New,strength_training,61.9,,111.0,148.0,264.0,,,23.27984619140625,1.2000000476837158,0.699999988079071,,
